,Unnamed: 0,title,time_since_posted,year,kilometers,trim,location,price,im_link
404,404,تیبا,دیروز,1400,43000,EX,شهریار,304000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/24136af0-68df-47c9-82fa-a20ae9e632b1/CarImage_638374264569520135_thumb_900_600.jpg?width=270
405,405,پراید,دیروز,1398,74000,SE,اصفهان / خرم,260000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/70472c37-0838-4178-b4bc-0c1f3ca6c0f9/CarImage_638374253285752700_thumb_900_600.jpg?width=270
406,406,سیتروئن,دیروز,1397,39000,اتوماتیک,تهران,,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/357dd8aa-8232-496c-ba0b-84b8e4c192bd/CarImage_638374247133897687_thumb_900_600.jpeg?width=270
407,407,پراید,دیروز,1388,450000,دنده ای,اردبیل / میدان مادر,154000000.0,/images/default-images/default-car-white.svg
408,408,کوییک,2 روز پیش,1401,27000,دنده ای,کرج / باغستان,325000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/a1a55db2-1768-4d40-8f52-6f35523b2ead/CarImage_638374133969887181_thumb_900_600.jpg?width=270
409,409,ساینا,2 روز پیش,1402,0,دنده ای بنزینی,زاهدان,352000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/757e8db7-cbef-48a6-be7a-c9a5d972ecdd/CarImage_638374172456485907_thumb_900_600.jpg?width=270
410,410,تیبا,2 روز پیش,1401,0,SX بنزینی,هشتگرد,,/images/default-images/default-car-white.svg
411,411,شاهین,2 روز پیش,1400,28500,دنده ای,تهران / یوسف‌آباد,508000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/9189660b-8e32-4d17-868c-29299846177d/CarImage_638374149534659996_thumb_900_600.jpg?width=270
412,412,پراید,2 روز پیش,1387,480000,ساده,تهران / امام حسین(ع),110000000.0,https://cdn.bama.ir/uploads/BamaImages/VehicleCarImages/2abf9db1-62bc-4157-9c6a-d7b1e5d92c55/CarImage_638374148865250702_thumb_900_600.jpg?width=270
413,413,کیا,2 روز پیش,1397,165000,2.0 لیتر آپشنال,بابل,1350000000.0,/images/default-images/default-car-white.svg
